no;question;a;b;c;d;e;answer;explained;source;qa_comb
1;Berdasarkan Pasal 24C ayat (1) Undang-Undang Dasar Negara Republik Indonesia Tahun 1945 (selanjutnya disebut UUD 1945) menyatakan bahwa...;Mahkamah Agung berwenang mengadili pada tingkat pertama dan terakhir yang putusannya bersifat final, antara lain, untuk memutus perselisihan tentang hasil pemilihan umum;Mahkamah Konstitusi berwenang mengadili pada tingkat pertama dan terakhir yang putusannya bersifat final, antara lain, untuk memutus perselisihan tentang hasil pemilihan umum;Kepolisian Negara Indonesia mengadili pada tingkat pertama dan terakhir yang putusannya bersifat final, antara lain, untuk memutus perselisihan tentang hasil pemilihan umum;Presiden Republik Indonesia mengadili pada tingkat pertama dan terakhir yang putusannya bersifat final, antara lain, untuk memutus perselisihan tentang hasil pemilihan umum;Tentara Negara Indonesia mengadili pada tingkat pertama dan terakhir yang putusannya bersifat final, antara lain, untuk memutus perselisihan tentang hasil pemilihan umum;b;Mahkamah Konstitusi berwenang mengadili pada tingkat pertama dan terakhir yang putusannya bersifat final, antara lain, untuk memutus perselisihan tentang hasil pemilihan umum;3282_putusan_mkri_6516.pdf;Berdasarkan Pasal 24C ayat (1) Undang-Undang Dasar Negara Republik Indonesia Tahun 1945 (selanjutnya disebut UUD 1945) menyatakan bahwa...\n A.  Mahkamah Agung berwenang mengadili pada tingkat pertama dan terakhir yang putusannya bersifat final, antara lain, untuk memutus perselisihan tentang hasil pemilihan umum\n B.  Mahkamah Konstitusi berwenang mengadili pada tingkat pertama dan terakhir yang putusannya bersifat final, antara lain, untuk memutus perselisihan tentang hasil pemilihan umum\n C.  Kepolisian Negara Indonesia mengadili pada tingkat pertama dan terakhir yang putusannya bersifat final, antara lain, untuk memutus perselisihan tentang hasil pemilihan umum\n D.  Presiden Republik Indonesia mengadili pada tingkat pertama dan terakhir yang putusannya bersifat final, antara lain, untuk memutus perselisihan tentang hasil pemilihan umum\n E.  Tentara Negara Indonesia mengadili pada tingkat pertama dan terakhir yang putusannya bersifat final, antara lain, untuk memutus perselisihan tentang hasil pemilihan umum
2;Permohonan diajukan dalam jangka waktu paling lama 3 X 24 (tiga kali dua puluh empat) jam sejak diumumkan penetapan perolehan suara hasil Pemilu Anggota DPR dan DPRD secara nasional oleh KPU, Isi dari pernyataan ini ada di pasal…;Pasal 70 ayat (3) UU MK, Pasal 111 ayat (2) UU Pemilu, dan Pasal 6 ayat (1) PMK Nomor 2 Tahun 2018;Pasal 74 ayat (3) UU MK, Pasal 474 ayat (2) UU Pemilu, dan Pasal 2 ayat (1) PMK Nomor 2 Tahun 2011;Pasal 74 ayat (3) UU MK, Pasal 474 ayat (2) UU Pemilu, dan Pasal 1 ayat (1) PMK Nomor 2 Tahun 2018;Pasal 74 ayat (3) UU MK, Pasal 474 ayat (2) UU Pemilu, dan Pasal 6 ayat (1) PMK Nomor 2 Tahun 2018;Pasal 74 ayat (3) UU MK, Pasal 474 ayat (2) UU Pemilu, dan Pasal 4 ayat (1) PMK Nomor 2 Tahun 2018;d;Bahwa berdasarkan Pasal 74 ayat (3) UU MK, Pasal 474 ayat (2) UU Pemilu, dan Pasal 6 ayat (1) PMK Nomor 2 Tahun 2018, permohonan diajukan dalam jangka waktu paling lama 3 X 24 (tiga kali dua puluh empat) jam sejak diumumkan penetapan perolehan suara hasil Pemilu Anggota DPR dan DPRD secara nasional oleh KPU;3270_putusan_mkri_6508.pdf;Permohonan diajukan dalam jangka waktu paling lama 3 X 24 (tiga kali dua puluh empat) jam sejak diumumkan penetapan perolehan suara hasil Pemilu Anggota DPR dan DPRD secara nasional oleh KPU, Isi dari pernyataan ini ada di pasal…\n A.  Pasal 70 ayat (3) UU MK, Pasal 111 ayat (2) UU Pemilu, dan Pasal 6 ayat (1) PMK Nomor 2 Tahun 2018\n B.  Pasal 74 ayat (3) UU MK, Pasal 474 ayat (2) UU Pemilu, dan Pasal 2 ayat (1) PMK Nomor 2 Tahun 2011\n C.  Pasal 74 ayat (3) UU MK, Pasal 474 ayat (2) UU Pemilu, dan Pasal 1 ayat (1) PMK Nomor 2 Tahun 2018\n D.  Pasal 74 ayat (3) UU MK, Pasal 474 ayat (2) UU Pemilu, dan Pasal 6 ayat (1) PMK Nomor 2 Tahun 2018\n E.  Pasal 74 ayat (3) UU MK, Pasal 474 ayat (2) UU Pemilu, dan Pasal 4 ayat (1) PMK Nomor 2 Tahun 2018
3;Pasal 1 ayat (3) UUD 1945 yang berbunyi…;Negara Indonesia adalah negara Hukum;Negara Indonesia adalah negara Islam;Negara Indonesia adalah negara liberal;Negara Indonesia adalah negara kepulauan;Negara Indonesia adalah negara Kristen;a;"Pasal 1 ayat (3) UUD 1945 yang berbunyi ""Negara Indonesia adalah negara Hukum""";1338_putusan_sidang_114%20PUU%202012%20-%20KUHAP%20-%20telah%20ucap%2028%20Maret%202013.pdf;Pasal 1 ayat (3) UUD 1945 yang berbunyi…\n A.  Negara Indonesia adalah negara Hukum\n B.  Negara Indonesia adalah negara Islam\n C.  Negara Indonesia adalah negara liberal\n D.  Negara Indonesia adalah negara kepulauan\n E.  Negara Indonesia adalah negara Kristen
4;Bahwa dengan demikian norma Pasal 244 KUHAP telah menimbulkan ketidak-pastian bagi Pemohon dan bahwa ketidak-pastian ini telah merugikan Hak Konstitusionalnya sebagaimana ditentukan dalam…;Pasal 21D ayat (1) UUD 1945;Pasal 22D ayat (1) UUD 1945;Pasal 23D ayat (1) UUD 1945;Pasal 24D ayat (1) UUD 1945;Pasal 28D ayat (1) UUD 1945;e;Bahwa dengan demikian norma Pasal 244 KUHAP telah menimbulkan ketidak-pastian bagi Pemohon dan bahwa ketidak-pastian ini telah merugikan Hak Konstitusionalnya sebagaimana ditentukan dalam Pasal 28D ayat (1) UUD 1945.;1338_putusan_sidang_114%2520PUU%25202012%2520-%2520KUHAP%2520-%2520telah%2520ucap%252028%2520Maret%25202013.pdf;Bahwa dengan demikian norma Pasal 244 KUHAP telah menimbulkan ketidak-pastian bagi Pemohon dan bahwa ketidak-pastian ini telah merugikan Hak Konstitusionalnya sebagaimana ditentukan dalam…\n A.  Pasal 21D ayat (1) UUD 1945\n B.  Pasal 22D ayat (1) UUD 1945\n C.  Pasal 23D ayat (1) UUD 1945\n D.  Pasal 24D ayat (1) UUD 1945\n E.  Pasal 28D ayat (1) UUD 1945
5;Bunyi rumusan Pasal 244 KUHAP...;Keputusan perkara pidana tidak dapat diberikan oleh Mahkamah Agung, hanya boleh diberikan oleh Mahkamah Konsitusi.;Terhadap putusan perkara pidana yang diberikan pada tingkat terakhir oleh pengadilan lain selain daripada Mahkamah Agung, terdakwa atau Penuntut Umum dapat mengajukan permintaan pemeriksaan kasasi kepada Mahkamah Agung terhadap putusan bebas.;Terhadap putusan perkara pidana yang diberikan pada tingkat terakhir oleh pengadilan lain selain daripada Mahkamah Agung, terdakwa atau Penuntut Umum dapat mengajukan permintaan pemeriksaan kasasi kepada Mahkamah Agung kecuali terhadap putusan bebas.;Mengenai kedudukan hukum para Pemohon Pemerintah menyerahkansepenuhnya kepada Majelis Hakim untuk menilai dan memutusnya.;;c;"Bunyi rumusan Pasal 244 KUHAP adalah ""Terhadap putusan perkara pidana yang diberikan pada tingkat terakhir oleh pengadilan lain selain daripada Mahkamah Agung, terdakwa atau Penuntut Umum dapat mengajukan permintaan pemeriksaan kasasi kepada Mahkamah Agung kecuali terhadap putusan bebas.""";1338_putusan_sidang_114%2520PUU%25202012%2520-%2520KUHAP%2520-%2520telah%2520ucap%252028%2520Maret%25202013.pdf;Bunyi rumusan Pasal 244 KUHAP...\n A.  Keputusan perkara pidana tidak dapat diberikan oleh Mahkamah Agung, hanya boleh diberikan oleh Mahkamah Konsitusi.\n B.  Terhadap putusan perkara pidana yang diberikan pada tingkat terakhir oleh pengadilan lain selain daripada Mahkamah Agung, terdakwa atau Penuntut Umum dapat mengajukan permintaan pemeriksaan kasasi kepada Mahkamah Agung terhadap putusan bebas.\n C.  Terhadap putusan perkara pidana yang diberikan pada tingkat terakhir oleh pengadilan lain selain daripada Mahkamah Agung, terdakwa atau Penuntut Umum dapat mengajukan permintaan pemeriksaan kasasi kepada Mahkamah Agung kecuali terhadap putusan bebas.\n D.  Mengenai kedudukan hukum para Pemohon Pemerintah menyerahkansepenuhnya kepada Majelis Hakim untuk menilai dan memutusnya.\n E.  
6;Segala warga negara bersamaankedudukannya di dalam hukum dan Pemerintahan dan wajib menjunjung hukum dan pemerintahan itu dengan tidak ada kecualinya, ada pada pasal…;Pasal 27 ayat (1);Pasal 28C ayat (2);Pasal 28D ayat (1);Pasal 28E ayat (3);Pasal 28I ayat (2);a;"Pasal 27 ayat (1) berbunyi: ""Segala warga negara bersamaankedudukannya di dalam hukum dan Pemerintahan dan wajib menjunjung hukum dan pemerintahan itu dengan tidak ada kecualinya""";1403_putusan_sidang_17%2520PUU%25202013%2520telah%2520ucap%252012%2520Juni%25202013.pdf;Segala warga negara bersamaankedudukannya di dalam hukum dan Pemerintahan dan wajib menjunjung hukum dan pemerintahan itu dengan tidak ada kecualinya, ada pada pasal…\n A.  Pasal 27 ayat (1)\n B.  Pasal 28C ayat (2)\n C.  Pasal 28D ayat (1)\n D.  Pasal 28E ayat (3)\n E.  Pasal 28I ayat (2)
7;Setiap orang berhak untuk memajukan dirinya dalam memperjuangkan haknya secara kolektif untuk membangun masyarakat, bangsa, dan negaranya, ada pada pasal...;Pasal 27 ayat (1);Pasal 28C ayat (2);Pasal 28D ayat (1);Pasal 28E ayat (3);Pasal 28I ayat (2);b;"Pasal 28C ayat (2) berbunyi: ""Setiap orang berhak untuk memajukan dirinya dalam memperjuangkan haknya secara kolektif untuk membangun masyarakat, bangsa, dan negaranya""";1403_putusan_sidang_17%2520PUU%25202013%2520telah%2520ucap%252012%2520Juni%25202013.pdf;Setiap orang berhak untuk memajukan dirinya dalam memperjuangkan haknya secara kolektif untuk membangun masyarakat, bangsa, dan negaranya, ada pada pasal...\n A.  Pasal 27 ayat (1)\n B.  Pasal 28C ayat (2)\n C.  Pasal 28D ayat (1)\n D.  Pasal 28E ayat (3)\n E.  Pasal 28I ayat (2)
8;Setiap orang berhak atas pengakuan, jaminan, perlindungan dan kepastian hukum yang adil serta perlakuan yang sama di hadapan hukum, ada pada pasal…;Pasal 27 ayat (1);Pasal 28C ayat (2);Pasal 28D ayat (1);Pasal 28E ayat (3);Pasal 28I ayat (2);c;"Pasal 28D ayat (1) berbunyi: ""Setiap orang berhak atas pengakuan, jaminan, perlindungan dan kepastian hukum yang adil serta perlakuan yang sama di hadapan hukum""";1403_putusan_sidang_17%2520PUU%25202013%2520telah%2520ucap%252012%2520Juni%25202013.pdf;Setiap orang berhak atas pengakuan, jaminan, perlindungan dan kepastian hukum yang adil serta perlakuan yang sama di hadapan hukum, ada pada pasal…\n A.  Pasal 27 ayat (1)\n B.  Pasal 28C ayat (2)\n C.  Pasal 28D ayat (1)\n D.  Pasal 28E ayat (3)\n E.  Pasal 28I ayat (2)
9;Setiap orang berhak atas kebebasan berserikat, berkumpul, dan mengeluarkan pendapat, ada pada pasal…;Pasal 27 ayat (1);Pasal 28C ayat (2);Pasal 28D ayat (1);Pasal 28E ayat (3);Pasal 28I ayat (2);d;"Pasal 28E ayat (3) berbunyi: ""Setiap orang berhak atas kebebasan berserikat, berkumpul, dan mengeluarkan pendapat""";1403_putusan_sidang_17%2520PUU%25202013%2520telah%2520ucap%252012%2520Juni%25202013.pdf;Setiap orang berhak atas kebebasan berserikat, berkumpul, dan mengeluarkan pendapat, ada pada pasal…\n A.  Pasal 27 ayat (1)\n B.  Pasal 28C ayat (2)\n C.  Pasal 28D ayat (1)\n D.  Pasal 28E ayat (3)\n E.  Pasal 28I ayat (2)
10;Setiap orang berhak bebas dari perlakuan yang bersifat diskriminatif atas dasar apapun dan berhak mendapatkan perlindungan terhadap perlakuan yang bersifat diskriminatif itu, ada pada pasal...;Pasal 27 ayat (1);Pasal 28C ayat (2);Pasal 28D ayat (1);Pasal 28E ayat (3);Pasal 28I ayat (2);e;"Pasal 28I ayat (2) berbunyi: ""Setiap orang berhak bebas dari perlakuan yang bersifat diskriminatif atas dasar apapun dan berhak mendapatkan perlindungan terhadap perlakuan yang bersifat diskriminatif itu""";1403_putusan_sidang_17%2520PUU%25202013%2520telah%2520ucap%252012%2520Juni%25202013.pdf;Setiap orang berhak bebas dari perlakuan yang bersifat diskriminatif atas dasar apapun dan berhak mendapatkan perlindungan terhadap perlakuan yang bersifat diskriminatif itu, ada pada pasal...\n A.  Pasal 27 ayat (1)\n B.  Pasal 28C ayat (2)\n C.  Pasal 28D ayat (1)\n D.  Pasal 28E ayat (3)\n E.  Pasal 28I ayat (2)
11;Pemohon dapat menarik kembali permohonannya sebelum atau selama pemeriksaan Mahkamah Konstitusi dilakukan, dan penarikan kembali tersebut mengakibatkan permohonan tidak dapat diajukan kembali, ada di pasal...;Pasal 31 Undang-Undang Nomor 24 Tahun 2003 tentang Mahkamah Konstitusi;Pasal 32 Undang-Undang Nomor 24 Tahun 2003 tentang Mahkamah Konstitusi;Pasal 35 Undang-Undang Nomor 23 Tahun 2003 tentang Mahkamah Konstitusi;Pasal 35 Undang-Undang Nomor 24 Tahun 2003 tentang Mahkamah Konstitusi;Pasal 35 Undang-Undang Nomor 25 Tahun 2003 tentang Mahkamah Konstitusi;d;bahwa berdasarkan Pasal 35 Undang-Undang Nomor 24 Tahun 2003 tentang Mahkamah Konstitusi (Lembaran Negara Republik Indonesia Tahun 2003 Nomor 98, Tambahan Lembaran Negara Republik Indonesia Nomor 4316), Pemohon dapat menarik kembali permohonannya sebelum atau selama pemeriksaan Mahkamah Konstitusi dilakukan, dan penarikan kembali tersebut mengakibatkan permohonan tidak dapat diajukan kembali.;782_putusan_sidang_Ketetapan%252012-PUU-IX-2011.pdf;Pemohon dapat menarik kembali permohonannya sebelum atau selama pemeriksaan Mahkamah Konstitusi dilakukan, dan penarikan kembali tersebut mengakibatkan permohonan tidak dapat diajukan kembali, ada di pasal...\n A.  Pasal 31 Undang-Undang Nomor 24 Tahun 2003 tentang Mahkamah Konstitusi\n B.  Pasal 32 Undang-Undang Nomor 24 Tahun 2003 tentang Mahkamah Konstitusi\n C.  Pasal 35 Undang-Undang Nomor 23 Tahun 2003 tentang Mahkamah Konstitusi\n D.  Pasal 35 Undang-Undang Nomor 24 Tahun 2003 tentang Mahkamah Konstitusi\n E.  Pasal 35 Undang-Undang Nomor 25 Tahun 2003 tentang Mahkamah Konstitusi
