"id","question_id","question","question_date","question_by","answer_date","answer"
"1","13996","Mengapa sampai saat ini belum ada pergantian antara waktu pada DPRD KABUPATEN MAPPI dari partai PERINDO Karena salah satu anggota DPRD kabupaten mappi atas nama TADIS TEDI TELAH MENINGGAL","21-08-2021","Akmal","21-08-2021","Salam Konstitusi  Mohon maaf, kami tidak dapat menjawab pertanyaan saudara karena berkaitan dengan kasus konkrit yang berada di luar kewenangan Mahkamah. Saudara dapat memperoleh informasi dai lembaga yang berwenang. Terimakasih."
"2","13995","Mohon di berhentikan PNS sekretaris desa yang sudah lanjut usia, karena di berkas administrasi umurnya masih mmudah namun pada kenyataanya sudah tua dalam usia atau seharusnya sudah harus di pensiunkan sesuai peraturan negara","21-08-2021","Akmal","21-08-2021","Salam Konstitusi,  Terima kasih atas pertanyaan saudara, namun mohon maaf kami tidak dapat menjawab pertanyaan dimaksud, pertanyaan saudara merupakan peristiwa konkrit yang di luar kewenangan Mahkamah."
"3","13991","Kronologis kejadian seorang wanita datang ke salah satu toko, kemudian mengamuk dalam toko sebut saja si M. Saat sedang ngamuk pegawai toko bernama S coba melerai namun si M menendang perut si S yang sedang Hamil 3 bulan , dari hasil visum si S ada beberapa luka berselang 5 hari kemudian si S mengalami keguguran di duga akibat dari temdangan si M . di karenakan setelah kejadian itu si S merasa perutnya sdh sakit namun setelah 5 hari barulah si S ke rmh sakit periksa ternyata bayi dlm kndungan nya sdh meninggal.Pertanyaan saya pasal yg di terapkan penyidik adalah pasal 351 ayat (1) bukan pasal 351 ayat (2) dengan Alasan tdk cukup bukti menyangkut kematian janin, Apakah bisa dengan mnghadirkan Saksi Ahli bisa di kenalan pasal 351 ayat (2) nya...","19-08-2021","Nur jamil abd rasyid","21-08-2021","Salam Konstitusi Kami turut prihatin atas permasalahan yang terjadi. Mohon maaf, kami tidak dapat menjawab pertanyaan saudara karena pertanyaan saudara merupakan kasus konkrit yang bukan merupakan kewenangan Mahkamah Konstitusi. Kami sarankan saudara agar berkonsultasi dengan penasihat hukum untuk mnegetahui tindakan hukum yang dapat dilakukan. Terima kasih."
"4","13990","apakah konstitusi kita sudah terimplementasikan terhadap tenaga kerja di Indonesia","18-08-2021","Mohamad Yusuf Rivaldi","21-08-2021","Salam Konstitusi, Mohon maaf, kami tidak dapat menjawab pertanyaan saudara, sebab pertanyaan tersebut membutuhkan diskusi yang lebih mendalam. Kami menyarankan agar saudara mengajukan permohonan penelitian atau wawancara kepada Pusat Penelitian dan Pengkajian Perkara MKRI. Terima Kasih."
"5","13988","Apakah penggumaan pasal 192 ayat (1),.tentang penutupan jalan umum,.sementara jalan tersebut adalah jalan khusus (perusahaan), dibenarkan dalam dakwaan penuntut umum,. sementara semua keterangan saksi jalan tersebut adalah jalan perusahaanDan subsider pasal 170 UU perkebunan yang menjelaskan sanksi pidana Badan hukum yang mendudukimenyerobot tanah masyarakat atau masyarakat hukum adat, apakah masyarakat yang.menduduki.lahan karena konflik kepemilikan, dapatkah pasal tersebut didakwakan kepada masyarakat. Sementara maksud pasal tersebut adalah untuk badan hukum","16-08-2021","M. Aslam Fadli SHI","21-08-2021","Salam Konstitusi Mohon maaf, kami tidak dapat menjawab pertanyaan saudara karena pertanyaan saudara merupakan kasus konkrit yang bukan merupakan kewenangan Mahkamah Konstitusi. Kami sarankan saudara agar berkonsultasi dengan penasihat hukum untuk mnegetahui tindakan hukum yang dapat dilakukan. Terima kasih. "
"6","13984","slamat siang mohon maaf menganggu. Saya mau bertanya mengenai bagaimana caratahapan yang harus saya lakukan jika ingin mewawancarai salah satu hakim atau panitera dalam upaya penelitian skirpsi saya mengenai Sengketa Kewenangan Lembaga Negara","14-08-2021","nadia manopponadia","21-08-2021","Salam Konstitusi. Saudari dapat mengajukan permohonan wawancara penelitian dengan melampirkan proposal penelitian (skripsi) saudari. Permohonan dapat diajukan melalui menu"
"7","13980","Apakah seorang perangkat desa yang telah mengundurkan diri dan diberhentikan dari jabatan perangkat desa dapat mengikuti seleslksi perangkat desa lagi pada tahun berikutnya ketika terjadi lowong jabatan","11-08-2021","MELUMAGDEN TAFUI","12-08-2021","Salam Konstitusi, Mohon maaf, kami tidak dapat menjawab pertanyaan saudara, sebab pertanyaan tersebut membutuhkan diskusi yang lebih mendalam. Kami menyarankan agar saudara mengajukan permohonan penelitian atau wawancara kepada Pusat Penelitian dan Pengkajian Perkara MKRI. Terima Kasih."
"8","13979","Maaf pak,saya mau tanya tentang hak saya beserta keluarga yang dimana kebetulan istri saya saat ini belum melaksanakan vaksinasi covid 19,namun dari kantor saya semua anggota keluarga wajib melaksanakan vaksin disisi lain istri saya enggan melaksanakanya,tapi saya terus2an ditekan dari perusahaan saya.yang ingin saya tanyakan disini,apakah saya punya hak untuk menolaknya atau gimana...terima kasih atas waktunya","11-08-2021","Ferdy","12-08-2021","Salam Konstitusi, Mohon maaf, kami tidak dapat menjawab pertanyaan saudara, sebab pertanyaan tersebut merupakan kasus konkret diluar kewenangan Mahkamah Konstitusi. Silahkan berkonsultasi dengan penasehat hukum. Terima Kasih."
"9","13978","Assalamualaikum saya mau tanya makna dari UUD pasal 27 ayat 1,2,dan3 di tiap kata awalnya apa ya 1. Segala2. Tiap tiap 3. Setiap Mohon jawabannya ya","11-08-2021","Alisa","12-08-2021","Waalaikumsalam. Salam Konstitusi. Mohon maaf, kami tidak dapat menjawab pertanyaan saudari, sebab pertanyaan tersebut membutuhkan diskusi yang lebih mendalam. Kami menyarankan agar saudari mengajukan permohonan penelitian atau wawancara kepada Pusat Penelitian dan Pengkajian Perkara MKRI. Terima Kasih."
"10","13977","Berapa Batas Waktu yg di tentukan untuk penjadwalan sidang setelah pendaftaran","10-08-2021","Ronald Winder Duwiri","12-08-2021","Salam Konstitusi, Jika yang saudara maksud penjadwalan sidang pertama perkara perselisihan hasil pilkada, maka sesuai Pasal 36 PMK Nomor 6 Tahun 2020 tentang Tata cara Beracara Perkara Perselisihan hasil Pemilihan Gubernur, Bupati, dan Walikota,sidang pemeriksaan pendahuluan dilaksanakan paling cepat 7 (tujuh) hari kerja sejak permohonan dicatat dalam e-BPRK.Adapun pemberitahuan sidang pertama kepada Pemohon, Termohon, dan Bawaslu Kab/Kota paling lama 2 (dua) hari kerja setelah permohonan dicatat dalam e-BPRK. Sedangkan pemberitahuan sidang pertama kepada calon Pihak Terkait paling lama 3 (tiga) hari kerja sebelum hari sidang. Jika dalam perkara pengujian undang-undang, sesuai Pasal 35 PMK Nomor 2 Tahun 2021 tentang Tata Beracara dalam Pengujian Undang-Undang , hari sidang pertama dilaksanakan 14 (empat belas) hari kerja sejak permohonan dicatat dalam e-BPRK. Adapun Mahkamah menyampaikan surat panggilan sidang pertama kepada Pemohon paling lama 5 (lima) hari kerja sebelum sidang pertama dilaksanakan. Saudara dapat selalu memantaunya pemberitahuan dan perkembangan jadwal sidang tersebut pada email dan nomor WA/telfon aktif yang terdaftar saat melakukan pendaftaran permohonan. selain itu, saudara dapat juga memantaunya melalui website www.mkri.id. Demikian yang dapat kami sampaikan, semoga membantu. Terima Kasih."
